id,wall_type,roof_type,floor_type,flood_depth_m,flood_class,point_id,latitude,longitude,average_room_length_ft,average_room_width_ft,reference_id,village_name,village_code,asset_type,building_length_ft,building_width_ft,building_area_sqft,mapped_house_type,unit_rate_inr,replacement_cost_inr,house_type_id,eq_hazard,wind_hazard,flood_hazard,flood_hazard_mdr,eq_hazard_mdr,wind_hazard_mdr,flood_loss,eq_loss,wind_loss
209,Tin,Tin,Mud,1.067,>1.0 m,1745648106860,26.29975181824087,91.00065909326077,4.0,4.0,209,Bhatkuchi,280_13,critical_facility,4.0,4.0,16.0,R5A Tin House,650.0,10400.0,7.0,0.3407,45.0258,1.067,0.14,0.5214,0.0,1456.0000000000002,5422.5599999999995,0.0
217,Tin,Tin,Mud,0.457,0.3 - 0.5 m,1746095500434,26.28496528657091,90.991124975215,30.0,12.0,217,Bhatkuchi,280_13,critical_facility,30.0,12.0,360.0,R5A Tin House,650.0,234000.0,7.0,0.3413,45.3377,0.457,0.02,0.5226,0.0,4680.0,122288.4,0.0
207,Tin,Tin,Mud,0.61,0.5 - 1.0 m,2840,26.268311,90.9695917,20.0,10.0,207,Bhatkuchi,280_13,critical_facility,20.0,10.0,200.0,R5A Tin House,650.0,130000.0,7.0,0.3423,45.9957,0.61,0.04,0.5246,0.0,5200.0,68198.0,0.0
211,Brick With Cement,Tin,Cement,0.61,0.5 - 1.0 m,1455,26.2924318,91.0001664,45.0,18.0,211,Bhatkuchi,280_13,critical_facility,45.0,18.0,810.0,R6A Semi Pucca (Cement Floor),1041.0,843210.0,11.0,0.3411,45.041,0.61,0.02,0.4911,0.0,16864.2,414100.431,0.0
216,Brick With Cement,Tin,Cement,0.61,0.5 - 1.0 m,1456,26.2924737,91.0002509,35.0,15.0,216,Bhatkuchi,280_13,critical_facility,35.0,15.0,525.0,R6A Semi Pucca (Cement Floor),1041.0,546525.0,11.0,0.3411,45.0411,0.61,0.02,0.4911,0.0,10930.5,268398.4275,0.0
214,Brick With Cement,Tin,Cement,0.914,0.5 - 1.0 m,1288,26.2895856,91.001207,15.0,18.0,214,Bhatkuchi,280_13,critical_facility,15.0,18.0,270.0,R6A Semi Pucca (Cement Floor),1041.0,281070.0,11.0,0.3413,45.1199,0.914,0.07400000000000001,0.49129999999999996,0.0,20799.180000000004,138089.691,0.0
220,Brick With Cement,Tin,Cement,0.61,0.5 - 1.0 m,901,26.2809986,90.999655,18.0,20.0,220,Bhatkuchi,280_13,critical_facility,18.0,20.0,360.0,R6A Semi Pucca (Cement Floor),1041.0,374760.0,11.0,0.3417,45.4806,0.61,0.02,0.49169999999999997,0.0,7495.2,184269.492,0.0
210,Brick With Cement,Tin,Cement,2.134,>1.0 m,2481,26.2780651,90.9879967,15.0,10.0,210,Bhatkuchi,280_13,critical_facility,15.0,10.0,150.0,R6A Semi Pucca (Cement Floor),1041.0,156150.0,11.0,0.3416,45.5878,2.134,0.3839999999999999,0.4916,0.0,59961.599999999984,76763.34,0.0
208,Brick With Cement,Tin,Cement,0.61,0.5 - 1.0 m,1745559332349,26.2685417223758,90.96553523093462,8.0,10.0,208,Bhatkuchi,280_13,critical_facility,8.0,10.0,80.0,R6A Semi Pucca (Cement Floor),1041.0,83280.0,11.0,0.3423,45.9351,0.61,0.02,0.49229999999999996,0.0,1665.6000000000001,40998.744,0.0
215,Tin,Tin,Cement,0.914,0.5 - 1.0 m,3632,26.2926137,91.00143,45.0,18.0,215,Bhatkuchi,280_13,critical_facility,45.0,18.0,810.0,R5B Tin House,650.0,526500.0,8.0,0.3411,45.0515,0.914,0.08,0.5222,0.0,42120.0,274938.3,0.0
213,Tin,Tin,Cement,0.914,0.5 - 1.0 m,1265,26.2887554,91.0012354,37.0,15.0,213,Bhatkuchi,280_13,critical_facility,37.0,15.0,555.0,R5B Tin House,650.0,360750.0,8.0,0.3413,45.1445,0.914,0.08,0.5226,0.0,28860.0,188527.94999999998,0.0
212,Tin,Tin,Cement,0.914,0.5 - 1.0 m,1264,26.28864,91.0013789,37.0,10.0,212,Bhatkuchi,280_13,critical_facility,37.0,10.0,370.0,R5B Tin House,650.0,240500.0,8.0,0.3413,45.1491,0.914,0.08,0.5226,0.0,19240.0,125685.29999999999,0.0
219,Brick With Cement,Stone/Slab,Cement,0.457,0.3 - 0.5 m,834,26.2816053,90.9997344,38.0,36.0,219,Bhatkuchi,280_13,critical_facility,38.0,36.0,1368.0,R7 (Pucca House),2186.0,2990448.0,10.0,0.3417,45.4507,0.457,0.0,0.45339999999999997,0.0,0.0,1355869.1231999998,0.0
